URL,Address,Title
https://newyork.craigslist.org/mnh/egr/6108497716.html,New York City,Plumbing/Fire Protection Engineer
https://newyork.craigslist.org/que/egr/6108474679.html,,Draftsperson - autoCAD
https://newyork.craigslist.org/mnh/egr/6108356021.html,5 BOUROUGHS,CLASS 2 DOB EXPEDITOR
https://newyork.craigslist.org/mnh/egr/6108297998.html,BROOKLYN,Seeking a full time structural engineer:
https://newyork.craigslist.org/mnh/egr/6108211770.html,Midtown,Visual Merchandising Designer - Freelance - START RIGHT AWAY
https://newyork.craigslist.org/fct/egr/6108146724.html,,CAD Technician / Architect
https://newyork.craigslist.org/mnh/egr/6108089049.html,,Architectural Team Associate
https://newyork.craigslist.org/mnh/egr/6108085523.html,,Architect/Project Manager
https://newyork.craigslist.org/wch/egr/6108005159.html,NY/Westchester,Electrical Engineer
https://newyork.craigslist.org/que/egr/6107892277.html,Maspeth,Architect CAD with Project Management duties
https://newyork.craigslist.org/mnh/egr/6107383624.html,Upper West Side,Junior Architect
https://newyork.craigslist.org/brk/egr/6107341282.html,,Architect / Drafter
https://newyork.craigslist.org/mnh/egr/6107187021.html,Midtown West,Plumbing Estimator
https://newyork.craigslist.org/jsy/egr/6107156150.html,Journal Square Jersey City NJ,MEP Engineer Wanted
https://newyork.craigslist.org/brk/egr/6107101615.html,"Williamsburg, Brooklyn",PRODUCTION / PROJECT ASSISTANTS NEEDED FOR ARCHITECTURAL FABRICATOR
https://newyork.craigslist.org/mnh/egr/6107099635.html,Manhattan,Site Work Superintendent
https://newyork.craigslist.org/mnh/egr/6107044264.html,,Technical Designer Architectural Products / CAD
https://newyork.craigslist.org/mnh/egr/6107020421.html,,JR Estimator/Quantity Surveyor
https://newyork.craigslist.org/mnh/egr/6107004475.html,,MECHANICAL ESTIMATOR - (PART TIME/FULLTIME)
https://newyork.craigslist.org/brk/egr/6106983911.html,"Greenpoint, Brooklyn",AutoCAD Operator
https://newyork.craigslist.org/mnh/egr/6106861040.html,Midtown East,Procurement Project Manager with Interior Design background needed
https://newyork.craigslist.org/mnh/egr/6106813804.html,New York,Design Director 
https://newyork.craigslist.org/mnh/egr/6106808637.html,New York,Innovative Interior Designers 
https://newyork.craigslist.org/mnh/egr/6106795251.html,Manhattan,Construction Job Supervisor Position
https://newyork.craigslist.org/brk/egr/6106690570.html,Brookly,Construction Administrative Assistant
https://newyork.craigslist.org/mnh/egr/6106625428.html,Midtown West,Architectural Firm Seeking Jr. & Sr. Architects
https://newyork.craigslist.org/que/egr/6106576721.html,"Jamaica, NY",Project Architect
https://newyork.craigslist.org/mnh/egr/6106576501.html,Manhattan NY,Greython Construction Seeking Retail Construction Project Managers
https://newyork.craigslist.org/mnh/egr/6106526218.html,Flatiron,Project Manager
https://newyork.craigslist.org/mnh/egr/6106523661.html,Flatiron,Project Architect with Revit skills
https://newyork.craigslist.org/mnh/egr/6106517947.html,Financial District,Project Architect
https://newyork.craigslist.org/lgi/egr/6106507195.html,Sandy relief program,Inspector / Code compliance for residential/ Sandy Relief Program
https://newyork.craigslist.org/mnh/egr/6106457614.html,Midtown East,Designer-Project Manager for Co-op Apartment Renovations
https://newyork.craigslist.org/lgi/egr/6106251976.html,Massapequa Park,Structural Engineer Needed
https://newyork.craigslist.org/mnh/egr/6106239982.html,Midtown East,Project Manager & Superintendent
https://newyork.craigslist.org/fct/egr/6106083136.html,,Landscape Design Sales -- Landscape Designer/Architect
https://newyork.craigslist.org/brx/egr/6106001774.html,,Engineer Systems and Integration Specialist
https://newyork.craigslist.org/mnh/egr/6105811579.html,Midtown,Intermediate Urban Designer
https://newyork.craigslist.org/que/egr/6105779872.html,METROPOLITAN AREA,ENGINEERS - BRIDGE CONDITION INSPECTORS
https://newyork.craigslist.org/lgi/egr/6105779656.html,,Civil Engineer - Commercial / Non-residential
https://newyork.craigslist.org/jsy/egr/6105779609.html,,Civil Engineer - Commercial / Non-residential
https://newyork.craigslist.org/brx/egr/6105779575.html,,Civil Engineer - Commercial / Non-residential
https://newyork.craigslist.org/que/egr/6105779536.html,,Civil Engineer - Commercial / Non-residential
https://newyork.craigslist.org/brk/egr/6105779499.html,,Civil Engineer - Commercial / Non-residential
https://newyork.craigslist.org/mnh/egr/6105779471.html,,Civil Engineer - Commercial / Non-residential
https://newyork.craigslist.org/mnh/egr/6105699200.html,NY,Temporary  Traffic  Data Collector
https://newyork.craigslist.org/mnh/egr/6105609117.html,Midtown West,Architect  / Junior Architect
https://newyork.craigslist.org/mnh/egr/6105605857.html,Midtown West,NYC DOB Expeditor/Filing Representative
https://newyork.craigslist.org/mnh/egr/6105603276.html,,Estimator Assistant
https://newyork.craigslist.org/brk/egr/6105530781.html,,"Construction Project Manager  (Bayridge, Brooklyn)"
https://newyork.craigslist.org/que/egr/6105527429.html,Queens,Land Surveyor/ Construction Layout
https://newyork.craigslist.org/que/egr/6105492477.html,Long Island City,Shop Manager (waterjet)
https://newyork.craigslist.org/mnh/egr/6105388534.html,Flatiron,Daftsperson
https://newyork.craigslist.org/jsy/egr/6105254100.html,,Entry Level Position at Architecture Firm
https://newyork.craigslist.org/wch/egr/6105227999.html,Dobbs Ferry,Junior Architect
https://newyork.craigslist.org/mnh/egr/6105208483.html,Journal Square in Jersey City NJ,Looking for Project Architect for Growing Practice
